universidad;candidateId
Andres A. Avelino Caceres;630665b8594e18004af04d81
Universidad Peruana Los Andes;630665b8594e18004af04d8b
Instituto Continental;630665b8594e18004af04d91
Sise;630665b8594e18004af04d98
Universidad Cesar Vallejo;630665b8594e18004af04dab
Universidad Nacional De La Amazonia Peruana;630665b8594e18004af04db3
Unes- Esforspol;630665b8594e18004af04dba
Certus;630665b8594e18004af04dc0
Universidad Tecnológica Del Perú;630665b8594e18004af04dc6
Instituto De Educación Superior De Perumaster;630665b8594e18004af04dd1
Netzun;630665b8594e18004af04dd7
Instituto Nacional De Estadística E Informática - Inei;630665b8594e18004af04dd7
I.s.t.p Cepea;630665b8594e18004af04de5
Universidad Nacional De La Amazonia Peruana;630665b8594e18004af04dee
Ceps. Virgen De Loreto;630665b8594e18004af04dee
Sabio Nacional Antúnez De Mayolo;630665b8594e18004af04df6
Certus;630665b8594e18004af04e02
Certus;630665b8594e18004af04e02
Utp - Universidad Tecnológica Del Perú;630665b8594e18004af04e0b
Icpna;630665b8594e18004af04e0b
Universidad Cesar Vallejo;630665b8594e18004af04e14
Universidad Nacional De La Amazonia Peruana;630665b8594e18004af04e1b
San Francisco De Asís;630665b8594e18004af04e1b
Universidad Nacional Daniel Alcides Carrión - Undac;630665b8594e18004af04e29
Universidad Privada Telesup;630665b8594e18004af04e29
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04e33
Universidad Alas Peruanas;630665b8594e18004af04e3e
Universidad Nacional De Tumbes;630665b8594e18004af04e4a
Universidad Nacional De Educación Enrique Guzmán Y Valle - La Cantuta;630665b8594e18004af04e52
Universidad San Martin De Porres;630665b8594e18004af04e59
Universidad Nacional De Tumbes;630665b8594e18004af04e64
Universidad Privada Del Norte;630665b8594e18004af04e6b
Sise;630665b8594e18004af04e71
Iestp Argentina;630665b8594e18004af04e7a
Telesup;630665b8594e18004af04e82
Universidad Tecnológica Del Perú - Utp;630665b8594e18004af04e8e
Idat;630665b8594e18004af04ea0
I.e. Virgen Del Morro Solar;630665b8594e18004af04ea0
Administracion De Empresas;630665b8594e18004af04ea8
Sise;630665b8594e18004af04eae
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04eb5
Británico;630665b8594e18004af04eb5
Certus;630665b8594e18004af04ebd
N°3 Monitor Huascar;630665b8594e18004af04ebd
Universidad Privada Del Norte;630665b8594e18004af04ed2
Eiger;630665b8594e18004af04ed2
Universidad Del Pacifico;630665b8594e18004af04eda
Modern Systems;630665b8594e18004af04ee0
Idat;630665b8594e18004af04ee7
Idat;630665b8594e18004af04eef
Enrique Guzmán Y Valle;630665b8594e18004af04ef5
Cesar Vallejo;630665b8594e18004af04ef5
Universidad Nacional Daniel Alcides Carrión;630665b8594e18004af04efc
Certus;630665b8594e18004af04f03
Universidad Alas Peruanas;630665b8594e18004af04f11
Pedro A. Del Águila Hidalgo;630665b8594e18004af04f1d
Cibertec;630665b8594e18004af04f24
Daniel Alcides Carrion;630665b8594e18004af04f24
Instituto Adex;630665b8594e18004af04f2d
Ifb;630665b8594e18004af04f32
Universidad Peruana Los Andes;630665b8594e18004af04f39
Universidad Continental;630665b8594e18004af04f42
Universidad De San Martin De Porres - Usmp;630665b8594e18004af04f48
Universidad De San Martin De Porres;630665b8594e18004af04f57
Icpna;630665b8594e18004af04f57
Edelmira Del Pando;630665b8594e18004af04f57
Mark Twain School;630665b8594e18004af04f60
Universidad Nacional De San Martín;630665b8594e18004af04f67
I.e Francisco Bolognesi 088;630665b8594e18004af04f67
Certus;630665b8594e18004af04f72
Ie República De Colombia;630665b8594e18004af04f72
Zegel Ipae;630665b8594e18004af04f7a
Certus;630665b8594e18004af04f80
Cibertec;630665b8594e18004af04f8c
Instituto Superior Tecnologico Sise;630665b8594e18004af04f94
Universidad Tecnológica Del Perú;630665b8594e18004af04f9a
Centro Peruano De  Estudios Bancarios - Cepeban;630665b8594e18004af04f9a
Certus;630665b8594e18004af04fa4
Universidad Alas Peruanas;630665b8594e18004af04fa4
Certus;630665b8594e18004af04fb4
Idad;630665b8594e18004af04fbb
Universidad Nacional Mayor De San Marcos;630665b8594e18004af04fc4
Instituto Certus;630665b8594e18004af04fcb
Vasili Sujomlinsky;630665b8594e18004af04fcb
Universidad Privada Del Norte;630665b8594e18004af04fd2
Universidad Tecnológica Del Perú;630665b8594e18004af04fdf
Universidad Nacional Mayor De San Marcos;630665b8594e18004af04fdf
Centro De Idiomas De La Unmsm;630665b8594e18004af04fdf
Instituto Columbia;630665b8594e18004af04fe8
Ifb Certus;630665b8594e18004af04ff0
Universidad Nacional Mayor De San Marcos;630665b8594e18004af04ffb
Universidad Privada Del Norte;630665b8594e18004af05008
Instituto Certus;630665b8594e18004af05010
Iestp Argentina;630665b8594e18004af05019
Universidad Catolica Los Angeles De Chimbote;630665b8594e18004af05020
Certus;630665b8594e18004af05027
Universidad Tecnológica Del Perú;630665b8594e18004af0502e
Universidad Católica Los Ángeles De Chimbote;630665b8594e18004af05038
Universidad Nacional Pedro Ruiz Gallo - Unprg;630665b8594e18004af0503f
Cibertec;630665b8594e18004af05047
Senati;630665b8594e18004af05057
Universidad De San Martin De Porres - Usmp;630665b8594e18004af0505d
Upn;630665b8594e18004af05064
Instituto Ifb Certus;630665b8594e18004af0506a
Universidad Tecnologica Del Peru;630665b8594e18004af05073
Senati;630665b8594e18004af0507f
Universidad Nacional De La Amazonia Peruana;630665b8594e18004af05085
Universidad Católica Sedes Sapientiae;630665b8594e18004af0509a
Cet N° 34;630665b8594e18004af0509a
Universidad Católica Sedes Sapientiae;630665b8594e18004af050a1
Instituto Sise;630665b8594e18004af050a7
Telesup;630665b8594e18004af050ae
Instituto De Formación Bancaria - Ifb;630665b8594e18004af050b7
Cepeban;630665b8594e18004af050c1
Universidad Privada Del Norte;630665b8594e18004af050c8
Itae;630665b8594e18004af050ce
Instituto Cibertec;630665b8594e18004af050d4
San Juan Bosco De Huanuco;630665b8594e18004af050dd
Juan Bosco De Huánuco;630665b8594e18004af050e4
Instituto San Juan Sullana;630665b8594e18004af050eb
Ifb- Certus;630665b8594e18004af050f2
Iep. San Carlos;630665b8594e18004af050f2
Instituto Privado Certus;630665b8594e18004af050fa
Adminitracion;630665b8594e18004af05101
Instituto Superior Sise;630665b8594e18004af05109
Senati;630665b8594e18004af05110
Estudios Secundarios;630665b8594e18004af05110
Universidad Privada Del Norte;630665b8594e18004af05119
Cibertec;630665b8594e18004af05119
Unmsm;630665b8594e18004af05123
Instituto Superior Tecnologico Privado Blaise Pascal;630665b8594e18004af05129
Juan Pablo Peregrino;630665b8594e18004af0513b
Cepeban;630665b8594e18004af05142
Universidad De San Martin De Porres;630665b8594e18004af05149
Certus;630665b8594e18004af0514f
Instituto De Educación Superior Tecnológico Privado De Formación Bancaria;630665b8594e18004af05156
Universidad Privada Del Norte;630665b8594e18004af0515d
Ifb Certus;630665b8594e18004af05165
Universidad De Ciencias Aplicadas;630665b8594e18004af0516d
Instituto De Formación Bancaria - Ifb;630665b8594e18004af0516d
Universidad Privada San Juan Bautista;630665b8594e18004af05179
Centro De Idiomas De La Catolica;630665b8594e18004af05179
Certus;630665b8594e18004af05184
Instituto Fibonacci;630665b8594e18004af0518c
Universidad San Ignacio De Loyola - Usil;630665b8594e18004af05192
Instituto Beta;630665b8594e18004af05192
Isil;630665b8594e18004af05192
Universidad Nacional De La Amazonia Peruana;630665b8594e18004af0519c
Instituto Certus;630665b8594e18004af051a4
Universidad Nacional De Tumbes;630665b8594e18004af051ab
Universida Nacional De La Amazonia Peruana;630665b8594e18004af051b3
Universidad Privada Del Norte;630665b8594e18004af051ba
Isam;630665b8594e18004af051c2
Instituto La Pontificia;630665b8594e18004af051c8
Idat;630665b8594e18004af051cf
Ábaco;630665b8594e18004af051cf
Administración De Empresas;630665b8594e18004af051de
I.e Virgen Dolorosa;630665b8594e18004af051de
Universidad Privada Del Norte - Upn;630665b8594e18004af051e5
Icpna;630665b8594e18004af051e5
Senati;630665b8594e18004af051ec
Computron;630665b8594e18004af051f8
Universidad Autónoma Del Perú;630665b8594e18004af051ff
Instituto San Ignacio De Loyola;630665b8594e18004af05206
Idat;630665b8594e18004af0520c
Universidad Científica Del Sur;630665b8594e18004af05215
Universidad Católica Sede Sapientiae;630665b8594e18004af05220
Certus;630665b8594e18004af05227
Ucv;630665b8594e18004af0522e
Certus;630665b8594e18004af05235
Ifb;630665b8594e18004af05235
Idat;630665b8594e18004af05240
Etsunp;630665b8594e18004af05247
Universidad Norbert Wiener;630665b8594e18004af0524e
Instituto Continental;630665b8594e18004af0525c
Institución Educativa Simón Bolívar;630665b8594e18004af0525c
Certus;630665b8594e18004af05267
Universidad Andina Néstor Cáceres Velásquez - Uancv;630665b8594e18004af0526f
Universidad Andina Néstor Cáceres Velásquez - Uancv;630665b8594e18004af0526f
Instituto Superior Tecnologico Privado Urusayhua;630665b8594e18004af0527b
Universidad Peruana De Ciencias Aplicadas.;630665b8594e18004af05282
Universidad Cesar Vallejo;630665b8594e18004af05289
I.e.s.t.p. Juanjui;630665b8594e18004af05289
San Marcos 00503;630665b8594e18004af05289
Universidad San Ignacio De Loyola;630665b8594e18004af05294
Trilce - Los Olivos;630665b8594e18004af05294
Universidad Peruana De Ciencias Aplicadas;630665b8594e18004af0529e
Saco Oliveros;630665b8594e18004af0529e
Universidad Autónoma Del Perú;630665b8594e18004af052a6
Universidad Privada Del Norte;630665b8594e18004af052ad
Universidad Tecnologica Del Perú;630665b8594e18004af052b5
Universidad Nacional De Ingenieria;630665b8594e18004af052b5
Universidad La Salle;630665b8594e18004af052ca
